2016-09-15 08:53:08,314[line:63] ERROR invalid literal for int() with base 10: 'John Peterman'
2016-09-15 09:10:15,676[line:63] ERROR (2006, 'MySQL server has gone away')
2016-09-15 09:45:02,873[line:72] ERROR (2006, 'MySQL server has gone away')
2016-09-15 10:29:01,456[line:72] ERROR (2006, 'MySQL server has gone away')
2016-09-15 17:50:14,364[line:80] ERROR (2006, 'MySQL server has gone away')
2016-09-15 18:03:38,718[line:77] ERROR (1062, "Duplicate entry '002542730x' for key 'PRIMARY'")
2016-09-15 18:10:40,815[line:82] ERROR (1062, "Duplicate entry '002542730x' for key 'PRIMARY'")
2016-09-15 18:13:11,531[line:84] ERROR (1062, "Duplicate entry '002542730x' for key 'PRIMARY'")
2016-09-15 18:20:57,498[line:68] ERROR (1062, "Duplicate entry '002542730x' for key 'PRIMARY'")
2016-09-15 18:23:37,877[line:68] ERROR (1062, "Duplicate entry '002542730x' for key 'PRIMARY'")
2016-09-15 18:29:45,610[line:68] ERROR (1062, "Duplicate entry '002542730x' for key 'PRIMARY'")
2016-09-16 02:55:36,058[line:69] ERROR (2006, 'MySQL server has gone away')
2016-09-16 02:58:00,040[line:69] ERROR (1062, "Duplicate entry '002542730x' for key 'PRIMARY'")
2016-09-16 02:59:18,454[line:71] ERROR (1062, "Duplicate entry '002542730x' for key 'PRIMARY'")
2016-09-16 03:00:30,940[line:72] ERROR (1062, "Duplicate entry '014062080x' for key 'PRIMARY'")
2016-09-16 03:01:45,194[line:72] ERROR (1062, "Duplicate entry '097089726X' for key 'PRIMARY'")
2016-09-16 03:29:17,707[line:72] ERROR (1062, "Duplicate entry '097089726X' for key 'PRIMARY'")
